Date,Open,High,Low,Close,Volume,Adj Close
2009/1/2,902.99,943.85,804.3,825.88,5872061000,825.88
2009/2/2,823.09,875.01,734.52,735.09,7022036200,735.09
2009/3/2,729.57,832.98,666.79,797.87,7633306300,797.87
2009/4/1,793.59,888.7,783.32,872.81,6938945600,872.81
2009/5/1,872.74,930.17,866.1,919.14,6883268000,919.14
2009/6/1,923.26,956.23,888.86,919.32,5330941800,919.32
2009/7/1,920.82,996.68,869.32,987.48,5080675400,987.48
2009/8/3,990.22,1039.47,978.51,1020.62,5764944200,1020.62
2009/9/1,1019.52,1080.15,991.97,1057.08,5633064200,1057.08
2009/10/1,1054.91,1101.36,1019.95,1036.19,5451064000,1036.19
2009/11/2,1036.18,1113.69,1029.38,1095.63,4443852500,1095.63
2009/12/1,1098.89,1130.38,1085.89,1115.1,4163287200,1115.1
2010/1/4,1116.56,1150.45,1071.59,1073.87,5071601500,1073.87
2010/2/1,1073.89,1112.42,1044.5,1104.49,4658238400,1104.49
2010/3/1,1105.36,1180.69,1105.36,1169.43,4702951700,1169.43
2010/4/1,1171.23,1219.8,1170.69,1186.69,5847150900,1186.69
2010/5/3,1188.58,1205.13,1040.78,1089.41,6626699400,1089.41
2010/6/1,1087.3,1131.23,1028.33,1030.71,5235174000,1030.71
2010/7/1,1031.1,1120.95,1010.91,1101.6,4704026600,1101.6
2010/8/2,1107.53,1129.24,1039.7,1049.33,4080773600,1049.33
2010/9/1,1049.72,1157.16,1049.72,1141.2,3993981400,1141.2
2010/10/1,1143.49,1196.14,1131.87,1183.26,4432102300,1183.26
2010/11/1,1185.71,1227.08,1173,1180.55,4354084200,1180.55
2010/12/1,1186.6,1262.6,1186.6,1257.64,3762922700,1257.64
2011/1/3,1257.62,1302.67,1257.62,1286.12,4816605000,1286.12
2011/2/1,1289.14,1344.07,1289.14,1327.22,3182974200,1327.22
2011/3/1,1328.64,1332.28,1249.05,1325.83,4046691700,1325.83
2011/4/1,1329.48,1364.56,1294.7,1363.61,4042194000,1363.61
2011/5/2,1365.21,1370.58,1311.8,1345.2,4114534200,1345.2
2011/6/1,1345.2,1345.2,1258.07,1320.64,4105601300,1320.64
2011/7/1,1320.64,1356.48,1282.86,1292.28,4308168000,1292.28
2011/8/1,1292.59,1307.38,1101.54,1218.89,4942913400,1218.89
2011/9/1,1219.12,1229.29,1114.22,1131.42,5104933800,1131.42
2011/10/3,1131.21,1292.66,1074.77,1253.3,4874946600,1253.3
2011/11/1,1251,1277.55,1158.66,1246.96,4289379000,1246.96
2011/12/1,1246.91,1269.37,1202.37,1257.6,3667346600,1257.6
2012/1/3,1258.86,1333.47,1258.86,1312.41,4190155500,1312.41
2012/2/1,1312.45,1378.04,1312.45,1365.68,4143404000,1365.68
2012/3/1,1365.9,1419.15,1340.03,1408.47,3980752200,1408.47
2012/4/2,1408.47,1422.38,1357.38,1397.91,3916786000,1397.91
2012/5/1,1397.86,1415.32,1291.98,1310.33,4158095900,1310.33
2012/6/1,1309.87,1363.46,1266.74,1362.16,4103472300,1362.16
2012/7/2,1362.33,1391.74,1325.41,1379.32,3663113300,1379.32
2012/8/1,1379.32,1426.68,1354.65,1406.58,3183567800,1406.58
2012/9/4,1406.54,1474.51,1396.56,1440.67,3857553100,1440.67
2012/10/1,1440.9,1470.96,1403.28,1412.16,3587115700,1412.16
2012/11/1,1412.2,1434.27,1343.35,1416.18,3593110000,1416.18
2012/12/3,1416.34,1448,1398.11,1426.19,3479625500,1426.19
2013/1/2,1426.19,1509.94,1426.19,1498.11,3802304200,1498.11
2013/2/1,1498.11,1530.94,1485.01,1514.68,3851884200,1514.68
2013/3/1,1514.68,1570.28,1501.48,1569.19,3591577500,1569.19
2013/4/1,1569.18,1597.57,1536.03,1597.57,3674685000,1597.57
2013/5/1,1597.55,1687.18,1581.28,1630.74,3661220400,1630.74
2013/6/3,1631.71,1654.19,1560.33,1606.28,3996199000,1606.28
2013/7/1,1609.78,1698.78,1604.57,1685.73,3270645900,1685.73
2013/8/1,1689.42,1709.67,1627.47,1632.97,3069868600,1632.97
2013/9/3,1635.95,1729.86,1633.41,1681.55,3474152000,1681.55
2013/10/1,1682.41,1775.22,1646.47,1756.54,3498866500,1756.54
2013/11/1,1758.7,1813.55,1746.2,1805.81,3261324500,1805.81
2013/12/2,1806.55,1849.44,1767.99,1848.36,3203412300,1848.36
2014/1/2,1845.86,1850.84,1770.45,1782.59,3806266600,1782.59
2014/2/3,1782.68,1867.92,1737.92,1859.45,3875949400,1859.45
2014/3/3,1857.68,1883.97,1834.44,1872.34,3579015700,1872.34
2014/4/1,1873.96,1897.28,1814.36,1883.95,3589287600,1883.95
2014/5/1,1884.39,1924.03,1859.79,1923.57,3185100900,1923.57
2014/6/2,1923.87,1968.17,1915.98,1960.23,3158130000,1960.23
2014/7/1,1962.29,1991.39,1930.67,1930.67,3214440400,1930.67
2014/8/1,1929.8,2005.04,1904.78,2003.37,2875718500,2003.37
2014/9/2,2004.07,2019.26,1964.04,1972.29,3364623800,1972.29
2014/10/1,1971.44,2018.19,1820.66,2018.05,4260310800,2018.05
2014/11/3,2018.21,2075.76,2001.01,2067.56,3479201500,2067.56
2014/12/1,2065.78,2093.55,1972.56,2058.9,3787267700,2058.9
