Date,Open,High,Low,Close,Volume,Adj Close
2009/1/2,902.99,934.73,899.35,931.8,4048270000,931.8
2009/1/3,,,,,,
2009/1/4,,,,,,
2009/1/5,929.17,943.85,888.31,890.35,5043904000,890.35
2009/1/6,,,,,,
2009/1/7,,,,,,
2009/1/8,,,,,,
2009/1/9,,,,,,
2009/1/10,,,,,,
2009/1/11,,,,,,
2009/1/12,890.4,890.4,817.04,850.12,6058756000,850.12
2009/1/13,,,,,,
2009/1/14,,,,,,
2009/1/15,,,,,,
2009/1/16,,,,,,
2009/1/17,,,,,,
2009/1/18,,,,,,
2009/1/19,,,,,,
2009/1/20,849.64,849.64,804.3,831.95,6129762500,831.95
2009/1/21,,,,,,
2009/1/22,,,,,,
2009/1/23,,,,,,
2009/1/24,,,,,,
2009/1/25,,,,,,
2009/1/26,832.5,877.86,821.67,825.88,5602004000,825.88
2009/1/27,,,,,,
2009/1/28,,,,,,
2009/1/29,,,,,,
2009/1/30,,,,,,
2009/1/31,,,,,,
2009/2/1,,,,,,
2009/2/2,823.09,870.75,812.87,868.6,6217632000,868.6
2009/2/3,,,,,,
2009/2/4,,,,,,
2009/2/5,,,,,,
2009/2/6,,,,,,
2009/2/7,,,,,,
2009/2/8,,,,,,
2009/2/9,868.24,875.01,808.06,826.84,6008821900,826.84
2009/2/10,,,,,,
2009/2/11,,,,,,
2009/2/12,,,,,,
2009/2/13,,,,,,
2009/2/14,,,,,,
2009/2/15,,,,,,
2009/2/16,,,,,,
2009/2/17,818.61,818.61,754.25,770.05,6401515100,770.05
2009/2/18,,,,,,
2009/2/19,,,,,,
2009/2/20,,,,,,
2009/2/21,,,,,,
2009/2/22,,,,,,
2009/2/23,773.25,780.12,734.52,735.09,7550775800,735.09
2009/2/24,,,,,,
2009/2/25,,,,,,
2009/2/26,,,,,,
2009/2/27,,,,,,
2009/2/28,,,,,,
2009/3/1,,,,,,
2009/3/2,729.57,729.57,666.79,683.38,7592844000,683.38
2009/3/3,,,,,,
2009/3/4,,,,,,
2009/3/5,,,,,,
2009/3/6,,,,,,
2009/3/7,,,,,,
2009/3/8,,,,,,
2009/3/9,680.76,758.29,672.88,756.55,7459435800,756.55
2009/3/10,,,,,,
2009/3/11,,,,,,
2009/3/12,,,,,,
2009/3/13,,,,,,
2009/3/14,,,,,,
2009/3/15,,,,,,
2009/3/16,758.84,803.24,749.93,768.54,7963276000,768.54
2009/3/17,,,,,,
2009/3/18,,,,,,
2009/3/19,,,,,,
2009/3/20,,,,,,
2009/3/21,,,,,,
2009/3/22,,,,,,
2009/3/23,772.31,832.98,772.31,815.94,6952819900,815.94
2009/3/24,,,,,,
2009/3/25,,,,,,
2009/3/26,,,,,,
2009/3/27,,,,,,
2009/3/28,,,,,,
2009/3/29,,,,,,
2009/3/30,809.07,845.61,779.81,842.5,6286869900,842.5
2009/3/31,,,,,,
2009/4/1,,,,,,
2009/4/2,,,,,,
2009/4/3,,,,,,
2009/4/4,,,,,,
2009/4/5,,,,,,
2009/4/6,839.75,856.91,814.53,856.56,6226187600,856.56
2009/4/7,,,,,,
2009/4/8,,,,,,
2009/4/9,,,,,,
2009/4/10,,,,,,
2009/4/11,,,,,,
2009/4/12,,,,,,
2009/4/13,855.33,875.63,835.58,869.6,6839301900,869.6
2009/4/14,,,,,,
2009/4/15,,,,,,
2009/4/16,,,,,,
2009/4/17,,,,,,
2009/4/18,,,,,,
2009/4/19,,,,,,
2009/4/20,868.27,871.8,826.83,866.23,7083169900,866.23
2009/4/21,,,,,,
2009/4/22,,,,,,
2009/4/23,,,,,,
2009/4/24,,,,,,
2009/4/25,,,,,,
2009/4/26,,,,,,
2009/4/27,862.82,888.7,847.12,877.52,6043558000,877.52
2009/4/28,,,,,,
2009/4/29,,,,,,
2009/4/30,,,,,,
2009/5/1,,,,,,
2009/5/2,,,,,,
2009/5/3,,,,,,
2009/5/4,879.21,930.17,879.21,929.23,7952024000,929.23
2009/5/5,,,,,,
2009/5/6,,,,,,
2009/5/7,,,,,,
2009/5/8,,,,,,
2009/5/9,,,,,,
2009/5/10,,,,,,
2009/5/11,922.99,922.99,878.94,882.88,6337752000,882.88
2009/5/12,,,,,,
2009/5/13,,,,,,
2009/5/14,,,,,,
2009/5/15,,,,,,
2009/5/16,,,,,,
